symbol,date,price
Edu,Jan 2000,39.81
Edu,Feb 2000,36.35
Edu,Mar 2000,43.22
Edu,Apr 2000,28.37
Edu,May 2000,25.45
Edu,Jun 2000,32.54
Edu,Jul 2000,28.4
Edu,Aug 2000,28.4
Edu,Sep 2000,24.53
Edu,Oct 2000,28.02
Edu,Nov 2000,23.34
Edu,Dec 2000,17.65
Edu,Jan 2001,24.84
Edu,Feb 2001,24
Edu,Mar 2001,22.25
Edu,Apr 2001,27.56
Edu,May 2001,28.14
Edu,Jun 2001,29.7
Edu,Jul 2001,26.93
Edu,Aug 2001,23.21
Edu,Sep 2001,20.82
Edu,Oct 2001,23.65
Edu,Nov 2001,26.12
Edu,Dec 2001,26.95
Edu,Jan 2002,25.92
Edu,Feb 2002,23.73
Edu,Mar 2002,24.53
Edu,Apr 2002,21.26
Edu,May 2002,20.71
Edu,Jun 2002,22.25
Edu,Jul 2002,19.52
Edu,Aug 2002,19.97
Edu,Sep 2002,17.79
Edu,Oct 2002,21.75
Edu,Nov 2002,23.46
Edu,Dec 2002,21.03
Edu,Jan 2003,19.31
Edu,Feb 2003,19.34
Edu,Mar 2003,19.76
Edu,Apr 2003,20.87
Edu,May 2003,20.09
Edu,Jun 2003,20.93
Edu,Jul 2003,21.56
Edu,Aug 2003,21.65
Edu,Sep 2003,22.69
Edu,Oct 2003,21.45
Edu,Nov 2003,21.1
Edu,Dec 2003,22.46
Edu,Jan 2004,22.69
Edu,Feb 2004,21.77
Edu,Mar 2004,20.46
Edu,Apr 2004,21.45
Edu,May 2004,21.53
Edu,Jun 2004,23.44
Edu,Jul 2004,23.38
Edu,Aug 2004,22.47
Edu,Sep 2004,22.76
Edu,Oct 2004,23.02
Edu,Nov 2004,24.6
Edu,Dec 2004,24.52
Edu,Jan 2005,24.11
Edu,Feb 2005,23.15
Edu,Mar 2005,22.24
Edu,Apr 2005,23.28
Edu,May 2005,23.82
Edu,Jun 2005,22.93
Edu,Jul 2005,23.64
Edu,Aug 2005,25.35
Edu,Sep 2005,23.83
Edu,Oct 2005,23.8
Edu,Nov 2005,25.71
Edu,Dec 2005,24.29
Edu,Jan 2006,26.14
Edu,Feb 2006,25.04
Edu,Mar 2006,25.36
Edu,Apr 2006,22.5
Edu,May 2006,21.19
Edu,Jun 2006,21.8
Edu,Jul 2006,22.51
Edu,Aug 2006,24.13
Edu,Sep 2006,25.68
Edu,Oct 2006,26.96
Edu,Nov 2006,27.66
Edu,Dec 2006,28.13
Edu,Jan 2007,29.07
Edu,Feb 2007,26.63
Edu,Mar 2007,26.35
Edu,Apr 2007,28.3
Edu,May 2007,29.11
Edu,Jun 2007,27.95
